prd_cd,prd_brnd_nm,prd_brnd_cd,prd_tp_cat_vl,prd_nm,item_index
003021000024,아로마티카,00302,샴푸,B5+ 비오틴 포티파잉 샴푸 400ml,945
111771000660,이니스프리,11177,파운데이션,센서티브 선 쿠션,946
111830100033,스테디,11183,마스크 & 팩,[P] 포스텝 하이드레이팅 플랜 [5매],947
180040000023,머지,18004,컨실러,더 퍼스트 크리미 컨실러,948
007011000036,CEO 보떼,00701,남녀공용,4711 아쿠아콜로니아 블러드오렌지 앤 바질 오 드 콜로뉴 50ML,949
002061000351,에뛰드하우스,00206,스타일링,핫스타일 크림 헤어 컬러링,950
000241000014,프로에잇청담,00024,프라이머 & 베이스,[프로에잇청담] 매직 글로우 부스터 크림 + 피카소 724,951
007011000123,CEO 보떼,00701,여성향수,쥬시꾸뛰르 락더레인보우 라라루즈 EDT 75ML,952
007061000027,바디홀릭,00706,스페셜 케어,바디홀릭 다우트리스바디미스트 3종,953
002061000233,에뛰드하우스,00206,크림,비타 씨 톡 젤 크림,954
111170000255,설화수,11117,에센스 & 세럼,[소용량] 윤조에센스,955
110650000496,마몽드,11065,스킨 & 토너,세라마이드 스킨 소프너,956
111771001248,이니스프리,11177,립케어 & 립밤,심플라벨 립 컬러 밤,957
310050000059,메디안,31005,치약,치석 잇몸&구취 마우스워시,958
110640000380,프리메라,11064,에센스 & 세럼,[소용량] 와일드 씨드 퍼밍 세럼,959
111771001538,이니스프리,11177,크림,제주왕벚꽃 톤업 크림 50mL+GIFT,960
002011000069,스틸라,00201,블러셔,[한국 단독] 소프트 글로우 파우더 블러셔,961
220010000195,리리코스,22001,쿠션,퍼펙트 콜라겐 쿠션 XP SPF50+ PA+++,962
008011000062,생활도감,00801,세탁세제,[생활도감]집들이선물세트,963
111771000906,이니스프리,11177,스킨 & 토너,19′ 화이트닝 포어 스킨,964
005021000182,마이팩토리,00502,구강,티시리즈 가글정 레몬,965
111290100578,해피바스,11129,바디모이스처라이저,[세트] 체리블러섬+코튼플라워 퍼퓸 바디로션,966
001091000019,미팩토리,00109,클렌징 워터,[미팩토리] 슈퍼 에어 클렌징 워터,967
005021000060,마이팩토리,00502,스펀지&퍼프,엘리트모델스 에그 스펀지,968
111771001176,이니스프리,11177,"",비자 트러블 포커싱 패치 1매/9패치,969
111170000276,설화수,11117,파우더,[리필] 진설 윤팩트,970
111170000545,설화수,11117,쿠션,[SS 컬렉션] 자정 브라이트닝 쿠션 SPF50+ PA+++,971
002071000011,부르조아,00207,BB & CC크림,헬씨 믹스 비비크림,972
111970100848,라네즈,11197,세트,[P][특별기획] 워터뱅크 모이스춰 크림 EX 기획세트,973
007061000015,바디홀릭,00706,남녀공용,인샤워바디퍼퓸(옐로우포션),974
111310100615,미쟝센,11131,컬러,[2입] 쉽고 빠른 크림염색 3N 다크브라운,975
007011000596,CEO 보떼,00701,향수,데렉렘 드렁크 온 유스 EDP 50ML,976
111830000024,스테디,11183,마스크 & 팩,[P] 클리어링 마스크 세럼 [1매],977
007011000392,CEO 보떼,00701,향수,니나리치 레 구르망디즈 드 니나 EDT 80ML,978
611121000194,에스쁘아,61112,쿠션,글로우라이저 톤 피커 쿠션 SPF50+/PA+++,979
111770001279,이니스프리,11177,세트,[P][면세전용] 그린티 베스트 3종세트,980
111660000001,순플러스,11166,클렌징 폼,5.5 클렌징폼,981
766000000004,"",76600,에센스 & 세럼 & 오일,[P] 보타닉 캄 에센셜 오일 30ml,982
111170000339,설화수,11117,에센스 & 세럼,[대용량] 윤조에센스,983
002061000357,에뛰드하우스,00206,립틴트,디어 달링 워터젤 틴트 NEW,984
111310100462,미쟝센,11131,샴푸,[3입] 에이징 케어 샴푸,985
111310000281,미쟝센,11131,스타일링,텍스쳐 드라이 셋팅 스프레이,986
110640000070,프리메라,11064,스킨 & 토너,와일드 피치 포어 워터,987
002061000479,에뛰드하우스,00206,아이섀도우,플레이 컬러 아이 팔레트 -윌 비 러브드,988
111970000702,라네즈,11197,립스틱,레이어링 립 바,989
111771001527,이니스프리,11177,"",트루케어 논나노 논코메도 무기자차 SPF48 80mL,990
003011000002,오킵스,00301,핸드 & 풋케어,헬시피트 풋크림,991
111070000667,헤라,11107,립,P [리필] 오토 립 라이너,992
111771001405,이니스프리,11177,에센스 & 세럼,브라이트닝 포어 세럼 30mL+스타터 세트,993
110650000780,마몽드,11065,아이브로우,[P] 투스텝 퍼펙트 브로우 파우더 0.7g,994
111270100250,일리윤,11127,마스크 & 팩,연꽃수분 마스크 50매,995
111130000681,아이오페,11113,쿠션,[P] 에어쿠션® 인텐스 커버(13호),996
002091000009,캔메이크,00209,립틴트,립 틴트 시럽 3g,997
111310000455,미쟝센,11131,스타일링,[3입] 파워스윙 슈퍼스트롱 스프레이9,998
111771000943,이니스프리,11177,마스크 & 팩,19´ 화산송이 컬러 클레이 마스크 _옐로우,999
001131000011,샬랑드파리,00113,스킨 & 토너,토니끄 드 알바로사,1000
111771001173,이니스프리,11177,클렌징 폼,씨솔트 퍼펙트 클렌저﻿ 130ML,1001
111310100646,미쟝센,11131,샴푸,[2입] 슈퍼 보태니컬 모이스쳐&리프레시 샴푸,1002
111970000322,라네즈,11197,아이섀도우,아이디얼 섀도우 쿼드,1003
150100000017,에스트라,15010,크림,아토베리어 365 크림,1004
